rank,speaker_id,gender,age,region,duration,utt_cer,transcript,prediction,del,sub,ins,ref_chars
1,1527825984,F,71,충청,3.840,0.5556,사람이 그게 없어,왜냐하면 그게 없어.,0,3,2,7
2,1531552733,F,69,수도권,9.300,0.5349,(NO:)집에 가서(SP: 조카랑) (SP:언니랑) 조카랑 나랑 언니랑 셋이서,집에 가서 조카랑 나랑 언니랑 셋이서,21,0,0,36
3,1527825984,F,71,충청,7.340,0.5000,(SP:깻잎)도 그렇고 깻잎 우리 가면은,뺏긴 랩도 그렇고 뺏긴 랩 우리 가면은,4,5,1,18
4,1520916170,M,75,수도권,5.630,0.4839,(NO:)언니 엄마는(SP: 노프로블람이라매요 )이랬더니,언니 엄마는 노 프로블럼 이래메요 이랬더니,10,3,0,28
5,1531552733,F,69,수도권,11.260,0.4706,(SN:)그렇게 해서 봉지를 묶어 (SP:가지가지고) (SP:)이렇게 (SP:흔들어주어주면),그렇게 해서 봉지를 묶어 가지고 이렇게 흔들어 주면,24,0,0,45
6,1520916170,M,75,수도권,7.590,0.4516,둘이 같이 가지 말자 이렇게 해서 안 가는 거라고 그랬지,둘이 같이 가지 말자 이렇게 해서 안 가지는 거라고 그랬지 안 가는 거라고 그랬지,0,0,10,22
7,1531552733,F,69,수도권,12.110,0.4412,싶었던 데라서 (SP:거기)거기서 사진 찍고 오빠랑 사진 찍고,거기서 사진 찍고 오빠랑 사진 찍고,13,0,0,27
8,1527825984,F,71,충청,4.090,0.4400,(FP:뭐) 갈아드시고 (FP:뭐) 이런 거는,뭐 갈아 드시고 뭐 이런 거는,10,0,0,21
9,1531552733,F,69,수도권,11.860,0.4390,담기 (SP:전) 직전에 넣고 한번 이렇게 저어서 (SP:저어서 주) 주면,담기 직전에 넣고 한번 이렇게 저어서 주면,15,0,0,32
10,1520916170,M,75,수도권,5.630,0.4375,(NO:)심한 상태는 (NO:아니어서) 그냥 그렇게 하고 있는거 (SP:같아)(NO:),심한 상태는 아니어서 그냥 그렇게 하고 있는 것 같아,20,1,0,41
11,1520916170,M,75,수도권,4.350,0.4348,일단 (NO:우선) 그냥 (NO:있어본대),일단 우선 그냥 있어본대,10,0,0,20
12,1531552733,F,69,수도권,12.541,0.4340,비타민 (SP:민) 미네랄 그 다음 단백질 (SP:옴) 오메가쓰리 (SP:현) 현미 이런걸 먹고,비타민 미네랄 그 다음 단백질 오메가 쓰리 현미 이런 걸 먹고,18,0,0,42
13,1527825984,F,71,충청,4.520,0.4333,(NO:)재밌기도 재밌고 그런 느낌이 들어요 (NO:),재미있기도 재밌고 그런 느낌이 들어요,9,3,0,25
14,1531552733,F,69,수도권,7.250,0.4231,국물에 깊은 맛이 덜 한 거 (SP:같다) 같애,국물의 깊은 맛이 덜한 거 같아,7,2,0,19
15,1520916170,M,75,수도권,4.780,0.4138,(SN:)내가 내 몸을 사랑해야 될 것 (SP:같아),내가 내 몸을 사랑해야 될 거 같애,10,2,0,23
16,1520916170,M,75,수도권,10.408,0.4000,(NO:)버거워 하진 (SP:않았는데) 이제 땀은 많이 흘렸는데(NO:),허거워 하진 않았는데 이제 땀은 많이 흘렸는데,15,1,0,34
17,1520916170,M,75,수도권,4.270,0.4000,(NO:)생각이 많아지는 나이긴 하네(NO:),생각이 많아지는 나이긴 하네,10,0,0,22
18,1531552733,F,69,수도권,11.176,0.4000,뉴욕 증시가 (SP:)이상 기류를 타고 있다죠,너희 역총시가 이상기류를 타고 있다죠,5,3,1,20
19,1531552733,F,69,수도권,7.340,0.3947,(SP:앞으로 다음 저도) 앞으로 저도 다음 달이면 해외 원정 갑니다,앞으로 저도 다음 달이면 해외 원정 갑니다,12,0,0,29
20,1520916170,M,75,수도권,5.030,0.3929,(NO:참 이제부터는) (SP:겅)걱정스럽기는 하네,참 이제부터는 걱정스럽기는 하네,11,0,0,25
